model,overall,imagination,entity,text_rendering,style,affection,composition,long_text
GPT-Image-1,86.3,86.4,88.2,74.5,93.1,90.8,92.8,78.3
Gemini2.5-Flash-Image,85.3,88.6,84.2,69.7,90.7,92.1,90.5,81.1
Qwen-Image,79.9,79.6,76.3,61.6,86.6,90.4,90.3,74.5
SEEDream 3.0,79.6,76.9,77.0,63.2,85.7,89.8,89.8,75.0
HiDream-I1-Full,75.9,75.0,73.4,64.3,83.1,89.5,87.8,57.9
FLUX.1-Krea-dev,74.7,72.3,68.5,54.4,82.2,87.2,88.4,70.2
FLUX.1-dev,73.7,71.1,71.0,56.3,76.4,89.7,86.8,64.6
SD3.5-Large,73.7,72.3,74.3,58.9,80.7,86.2,85.9,58.0
HiDream-I1-Dev,70.2,69.0,69.5,58.8,73.7,83.7,83.7,52.8
SD3.5-Medium,69.5,71.3,68.3,41.7,78.9,85.2,84.3,56.9
SD3-Medium,65.4,63.3,60.6,43.0,75.2,79.5,82.3,53.8
Bagel-CoT,65.2,71.3,61.2,31.7,67.3,83.8,83.2,58.0
Bagel,65.1,68.7,54.6,37.4,69.6,81.6,81.8,61.7
FLUX.1-schnell,64.2,64.8,56.5,50.2,69.4,72.7,76.3,59.6
Playground,64.1,66.5,70.8,23.9,79.1,87.8,77.0,43.9
JanusPro-7B,60.7,68.1,59.5,26.1,72.6,75.4,72.4,51.1
SDXL,60.4,58.2,70.0,25.4,73.9,78.0,75.4,41.9
SD2.1,48.0,44.6,53.8,20.9,60.7,62.6,59.4,34.2
SD1.5,44.2,36.4,47.5,20.6,55.3,61.0,56.1,32.9
